,S,I,R,M
99,17445273.19564491,5284183.954666379,183038471.26461005,4232071.585061528
100,17316518.07023899,4855356.17306534,183591465.26428443,4236660.492386121
101,17199060.25789563,4460526.77135434,184099536.35457033,4240876.616157757
102,17091864.993184753,4097131.813989625,184566253.61911595,4244749.573685359
103,16993998.92279339,3762778.6148098595,184994915.72409785,4248306.738273991
104,16904619.195017673,3455238.2111103134,185388569.2028916,4251573.3909561
105,16822963.856319588,3172437.385867287,185750025.8926024,4254572.865185356
106,16748343.381774137,2912450.448972164,186081879.4850459,4257326.684181551
107,16680133.190972,2673490.9429386877,186386521.17527622,4259854.690786508
108,16617767.022025172,2453903.4013815075,186666154.40674365,4262175.169823909
109,16560731.054218376,2252155.2582727717,186922808.72442803,4264304.963056775
110,16508558.685134726,2066828.981325204,187158352.75660053,4266259.5769137
111,16460825.881045643,1896614.482930011,187374506.3527847,4268053.283213124
112,16417147.0304634,1740301.8460349664,187572851.9103155,4269699.213155045
113,16377171.240202432,1596774.3894892805,187754844.92540285,4271209.444876252
114,16340579.021386754,1465002.0871984959,187921823.80650154,4272595.084884937
115,16307079.31976212,1344035.3473822135,188075018.98912898,4273866.343698112
116,16276406.8506004,1232999.151965201,188215561.39139724,4275032.606007542
117,16248319.703580132,1131087.5513145423,188344490.2493744,4276102.495700783
118,16222597.18740413,1037558.5058904837,188462760.37062177,4277083.936052808
119,16199037.887687448,951729.0636933189,188571248.84319007,4277984.205398759
120,16177457.914903324,872970.860468909,188670761.23601094,4278809.988587324
121,16157689.32199077,800705.9283307709,188762037.32515144,4279567.424498517
122,16139578.67365743,734402.7976509293,188845756.37876257,4280262.149899769
123,16122985.75153526,673572.8766463709,188922542.03189173,4280899.33989886
124,16107782.38117407,617767.0929775744,188992966.78058186,4281483.745236489
125,16093851.368472692,566572.78178882,189057556.12305725,4282019.726651946
126,16081085.5345278,519610.80492587463,189116792.37398317,4282511.2865349315
127,16069386.839121772,476532.8864988652,189171118.17628327,4282962.098066738
128,16058665.584128939,437019.15049006813,189220939.73330954,4283375.532042981
129,16048839.689065788,400775.84670726187,189266629.78265113,4283754.68154917
130,16039834.031839486,367533.25202749955,189308530.33144298,4284102.384662424
131,16031579.8484746,337043.73454613506,189346955.17162758,4284421.245320397
132,16024014.186249292,309079.96892773797,189382192.1922808,4284713.652511443
133,16017079.405234186,283433.29193335463,189414505.50488988,4284981.797910871
134,16010722.723742614,259912.18777091216,189444137.39636964,4285227.692087271
135,16004895.803642336,238340.89356841176,189471310.12336847,4285453.179390588
136,15999554.371883933,218558.1159020858,189496227.56054708,4285659.951634012
137,15994657.87495357,200415.84991972212,189519076.71444124,4285849.560653006
138,15990169.163281089,183778.29317952003,189540029.1136656,4286023.429841978
139,15986054.202913482,168520.84687703356,189559242.08543342,4286182.864748691
140,15982281.812023187,154529.19765421332,189576859.92749572,4286329.06279935
141,15978823.420046354,141698.47367907822,189593014.98401955,4286463.122223484
142,15975652.847454477,129932.46914604072,189607828.6331141,4286586.050253625
143,15972746.104345392,119142.93178292384,189621412.1931998,4286698.770641215
144,15970081.20620616,109248.90835686382,189633867.75484645,4286802.130565474
145,15967638.005351923,100176.14355128931,189645288.944102,4286896.906963127
146,15965398.036680546,91856.52794022267,189655761.62300518,4286983.81234193
147,15963344.376501761,84227.59111552568,189665364.532239,4287063.500114911
148,15961461.513314841,77232.03632919429,189674169.8808378,4287136.56949615
149,15959735.22950674,70817.31329658207,189682243.8871852,4287203.569981421
150,15958152.493033843,64935.22607019097,189689647.27538264,4287265.005480517
151,15956701.358234234,59541.573137673404,189696435.73050937,4287321.338083158
152,15955370.874987679,54595.817123229324,189702660.31632674,4287372.991532422
153,15954151.005519336,50060.7816804755,189708367.85836464,4287420.354399741
154,15953032.54818705,45902.37335764153,189713601.29541466,4287463.783003747
155,15952007.06767208,42089.32639387138,189718400.0018221,4287503.604084512
156,15951066.831020284,38592.96856978306,189722800.08312234,4287540.117256942
157,15950204.74904253,35387.00638668207,189726834.64727503,4287573.59726129
158,15949414.322628679,32447.327988585395,189730534.05333593,4287604.296025253
159,15948689.593544198,29751.82236964947,189733926.1395254,4287632.4445554465
160,15948025.099352142,27280.213528126,189737036.43241763,4287658.254682259
161,15947415.832099123,25013.908336856242,189739888.33890894,4287681.92064842
162,15946857.200449662,22935.857000665066,189742503.32199332,4287703.620548358
163,15946344.994989084,21030.425063262937,189744901.0622286,4287723.517700004
164,15945875.356418673,19283.276011177695,189747099.60566548,4287741.7618629625
165,15945444.746409288,17681.263600128717,189749115.49959588,4287758.490349782
166,15945049.920875844,16212.333101098666,189750963.9169196,4287773.829061434
167,15944687.90549413,14865.430729187576,189752658.7702705,4287787.893454248
168,15944355.973250309,13630.420578912357,189754212.81676778,4287800.789393964
169,15944051.623862036,12498.008445259125,189755637.75369823,4287812.613937763
170,15943772.564912617,11459.671960856078,189756944.3070028,4287823.456103418
171,15943516.69456798,10507.596526636906,189758142.31134543,4287833.3974902835
172,15943282.085714126,9634.616556325323,189759240.7847628,4287842.512944584
173,15943066.97142981,8834.161594821093,189760247.9958369,4287850.871079271
174,15942869.731665256,8100.206906723131,189761171.52662987,4287858.534814153
175,15942688.881032372,7427.228164651912,189762018.3288921,4287865.561829324
176,15942523.057596758,6810.159897632176,189762794.77739137,4287872.005027647
177,15942371.012620514,6244.357387859482,189763506.71702737,4287877.912911365
178,15942231.601150589,5725.561729973014,189764159.50710335,4287883.329954478
