,S,I,R,M
76,29241089.83022002,32365239.359909397,147188714.20345423,1204956.6064240718
77,27933521.999722216,30229452.79736976,150604108.55882066,1232916.6440955522
78,26766143.696602143,28183630.143000208,153791218.32453674,1259007.8358703472
79,25722588.508124817,26233876.197119653,156760221.78872266,1283313.506041377
80,24788487.957627174,24383769.71414798,159521821.06107923,1305921.2671531383
81,23951242.575294964,22634843.293574594,162086993.1489473,1326920.9821927187
82,23199809.487460744,20986997.58391251,164466789.8026093,1346403.1260283797
83,22524509.432492916,19438853.91315366,166672179.16527912,1364457.4890812766
84,21916854.037226945,17988050.98651717,168713922.80560687,1381172.17065513
85,21369392.899875816,16631491.918555453,170602482.36685345,1396632.8147222463
86,20875579.278327193,15365547.917141415,172347950.7579166,1410922.0466206921
87,20429652.79783488,14186224.640512077,173960003.48701146,1424119.074648487
88,20026537.442136023,13089296.761504991,175447866.37064928,1436299.4257143084
89,19661753.088512473,12070415.698779374,176820296.42382464,1447534.7888950543
90,19331338.93021678,11125194.87892621,178085573.24595425,1457892.9449176784
91,19031787.25903209,10249276.31585298,179251498.66190895,1467437.7632198322
92,18759986.23073894,9438381.757128062,180325402.76075965,1476229.251386402
93,18513170.39075294,8688351.162044207,181314154.80277485,1484323.644439159
94,18288877.886525284,7995170.846718407,182224177.74303204,1491773.5237339516
95,18084913.43217943,7354993.256790372,183061465.35390538,1498627.9571334743
96,17899316.216683824,6764150.0049406905,183831601.1246535,1504932.6537283089
97,17730332.058869034,6219159.533891629,184539778.27953222,1510730.127714687
98,17576389.211019035,5716730.53068344,185190820.39115983,1516059.8671453272
99,17436077.298444673,5253762.019684354,185789202.17769587,1520958.5041846808
100,17308128.95647377,4827340.895121063,186339070.16415805,1525459.984252928
101,17191403.789993893,4434737.51441841,186844262.9635372,1529595.7320560531
102,17084874.335227687,4073399.8573149666,187308330.99445584,1533394.8130043827
103,16987613.750017375,3740946.659034959,187734555.50202575,1536884.08892634
104,16898784.99863447,3435159.8456803635,188125966.78837663,1540088.3673120148
105,16817631.330955565,3153976.533817027,188485361.59164438,1543030.5435859254
106,16743467.884656196,2895480.8017102503,188815319.5775223,1545731.7361145746
107,16675674.263532985,2657895.394892052,189118218.9277576,1548211.4138214882
108,16613687.965917159,2439573.4920938085,189396251.02557755,1550487.5164088407
109,16556998.55485356,2238990.62768842,189651434.25016716,1552576.567285657
110,16505142.4768092,2054736.8424989893,189885626.90131155,1554493.779375087
111,16457698.448534846,1885509.115188906,190100539.28223425,1556253.154030417
112,16414283.342661634,1730104.1106406387,190297744.9733608,1557867.5733270498
113,16374548.511974739,1587411.2690853565,190478691.3329063,1559348.8860256253
114,16338176.50031116,1456406.2497058914,190644709.26245713,1560707.9875176952
115,16304878.094868029,1336144.7345280624,190797022.276521,1561954.8940731538
116,16274389.680590738,1225756.5922592657,190936754.91542804,1563098.8117123356
117,16246470.86233838,1124440.397002185,191064940.5406242,1564148.2000220397
118,16220902.324865926,1031458.2932014789,191182528.55068326,1565110.8312291808
119,16197483.904393477,946131.1955505919,191290391.05519694,1565993.844836362
120,16176032.848759038,867834.310713628,191389329.04239058,1566803.7981129913
121,16156382.245927664,795992.9664525255,191480078.07487267,1567546.71272341
122,16138379.603052864,730078.7329693703,191563313.54619274,1568228.1177594345
123,16121885.560379092,669605.8208761006,191639655.52928767,1568853.0894321192
124,16106772.72608639,614127.7401059779,191709673.24611843,1569426.2876624002
125,16092924.61977628,563234.2042156275,191773889.1861808,1569951.9897970501
126,16080234.713672286,516548.2648367879,191832782.89979887,1570434.1216623688
127,16068605.56183165,473723.661479239,191886794.4905048,1570876.286154583
128,16057948.008715367,434442.37242425774,191936327.82927993,1571281.7895529943
129,16048180.469401598,398412.35305177333,191981753.51178676,1571653.6657295225
130,16039228.274553606,365365.44859116053,192023411.57840937,1571994.6984159395
131,16031023.073962813,335055.46895706403,192061614.01536945,1572307.4416793468
132,16023502.29314426,307256.414012433,192096647.05406198,1572594.2387457124
133,16016608.638011796,281760.8382807073,192128773.28436956,1572857.2393003127
134,16010289.64317377,258378.34479818415,192158233.5966046,1573098.4153854568
135,16004497.259830529,236934.19845035253,192185248.9656729,1573319.5760065354
136,15999187.47965157,217268.0497668829,192210022.08999014,1573522.3805488802
137,15994319.991366124,199232.76075558277,192232738.8967347,1573708.3511005137
138,15989857.867114529,182693.3249345536,192253569.9241442,1573878.8837682821
139,15985767.275893845,167525.87427146517,192272671.59072712,1574035.259068379
140,15982017.221677475,153616.7662591071,192290187.3605576,1574178.6514656714
141,15978579.304026056,140861.74484732683,192306248.81295556,1574310.13813087
142,15975427.499198547,129165.16941284675,192320976.6243717,1574430.7069785858
143,15972537.959967516,118439.30638113039,192334481.469571,1574541.2640449435
144,15969888.832497029,108603.67851949214,192346864.8486866,1574642.6402582482
145,15967460.088804422,99584.46729850215,192358219.84620717,1574735.597652136
146,15965233.373442242,91313.96407124649,192368631.82739234,1574820.835067093
147,15963191.86318068,83730.06614770443,192378179.07726264,1574898.9933815254
148,15961320.138562066,76775.81414629795,192386933.38694993,1574970.66031168
149,15959604.066309135,70398.96728729538,192394960.59156284,1575036.3748148996
150,15958030.691657191,64551.61355493666,192402321.0636327,1575096.6311293717
151,15956588.139760455,59189.81189776403,192409070.16584203,1575151.8824801787
152,15955265.525397474,54273.263861276515,192415258.66624337,1575202.5444788795
153,15954052.870267905,49765.01225457556,192420933.11921805,1575248.9982415913
154,15952941.027240632,45631.16464445039,192426136.21484512,1575291.5932495748
155,15951921.61095665,41840.63964737733,192430907.09940618,1575330.6499728072
156,15950986.934252935,38364.93415322588,192435281.66929856,1575366.462276271
157,15950129.949914256,35177.909765077515,192439292.84067404,1575399.2996271406
158,15949344.197301697,32255.596878341632,192442970.7966819,1575429.4091189916
159,15948623.753448343,29576.01495022325,192446343.21425003,1575457.0173283708
160,15947963.188244704,27119.0076283409,192449435.47208622,1575482.3320172708
161,15947357.52337105,24866.09151566118,192452270.84139386,1575505.5436948745
162,15946802.194658622,22800.317448654416,192454870.66082126,1575526.8270494423
163,15946293.017597046,20906.14325730737,192457254.49686113,1575546.3422616038
164,15945826.155718988,19169.317060002893,192459440.29098853,1575564.236208781
165,15945398.091622803,17576.770223847794,192461444.4945604,1575580.6435695423
166,15945005.60041499,16116.519192323847,192463282.19253337,1575595.6878365343
167,15944645.72536211,14777.575447675974,192464967.21692225,1575609.4822451647
168,15944315.75557792,13549.862935639798,192466512.2508379,1575622.130625417
169,15944013.205565559,12424.142335442073,192467928.92389435,1575633.728182797
170,15943735.796467407,11391.941608793173,192469227.89968678,1575644.3622145713
171,15943481.438874893,10445.49230825993,192470418.95603248,1575654.1127665334
172,15943248.21707057,9577.671168240511,192471511.05850852,1575663.0532352286
173,15943034.374581398,8781.946541101044,192472512.4279401,1575671.2509202047
174,15942838.300938316,8052.329277150727,192473430.6022363,1575678.7675303707
175,15942658.51953089,7383.327680269292,192474272.49312073,1575685.65964835
176,15942493.676479641,6769.906201437257,192475044.43814373,1575691.9791563388
177,15942342.530430675,6207.4475603365245,192475752.24836436,1575697.7736264176
178,15942203.943200609,5691.718010815722,192476401.25209263,1575703.0866786507
179,15942076.871199196,5218.835489530466,192476996.3349863,1575707.9583093796
180,15941960.357565992,4785.240408646591,192477541.97681665,1575712.4251921303
181,15941853.52496013,4387.668873290072,192478042.28519613,1575716.52095376
182,15941755.5689509,4023.128122591568,192478501.026483,1575720.2764274369
183,15941665.751957254,3688.8740098384433,192478921.65413356,1575723.719884819
184,15941583.397691205,3382.3903525311575,192479307.33469197,1575726.8772487522
185,15941507.88606388,3101.3699971684323,192479660.9716363,1575729.772288448
186,15941438.648514317,2843.6974564452944,192479985.22721595,1575732.4267983886
187,15941375.163727023,2607.432988351532,192480282.54250804,1575734.8607623377
188,15941316.953705749,2390.797997477398,192480555.15577888,1575737.092503828
189,15941263.58017328,2192.1616487647543,192480805.11933872,1575739.138824065
190,15941214.641270284,2010.0285930432326,192481034.3149929,1575741.0151283634
191,15941169.768529415,1843.0277120444057,192481244.4682009,1575742.7355421665
192,15941128.6241002,1689.9017982456648,192481437.16106868,1575744.3130173509
193,15941090.898204586,1549.4980919184775,192481613.84425807,1575745.7594297216
194,15941056.306804737,1420.7596041996794,192481775.84790727,1575747.0856684104
195,15941024.58946314,1302.717160911188,192481924.3916429,1575748.3017178765
196,15940995.50738243,1194.4821072727445,192482060.5937619,1575749.4167330023
197,15940968.841606751,1095.2396186196431,192482185.47965056,1575750.439108111
198,15940944.391373107,1004.2425667954097,192482299.98950496,1575751.376540069
199,15940921.972599676,920.8058960678386,192482404.98540258,1575752.2360862722
200,15940901.416499635,844.3014662473016,192482501.2578016,1575753.024217773
201,15940882.568310542,774.1533242028311,192482589.53148237,1575753.7468679792
202,15940865.286128609,709.8333681912394,192482670.4710107,1575754.4094773482
203,15940849.439840639,650.8573723711365,192482744.68573803,1575755.0170342925
204,15940834.910144137,596.7813415825156,192482812.73438662,1575755.574112796
205,15940821.58764912,547.1981689578528,192482875.12925982,1575756.0849068193
206,15940809.372054404,501.73457120892533,192482932.3400968,1575756.5532618642
207,15940798.17139269,460.0482785225122,192482984.79760906,1575756.982703938
208,15940787.901337659,421.8254579145084,192483032.8967229,1575757.3764660875
209,15940778.48456955,386.7783506485027,192483076.99955168,1575757.737512756
210,15940769.850192782,354.64310593573686,192483117.43812388,1575758.0685620864
211,15940761.933202058,325.1777946104238,192483154.5168815,1575758.3721063794
212,15940754.673993293,298.1605878291066,192483188.51497236,1575758.6504308765
213,15940748.017914593,273.3880870843317,192483219.68835184,1575758.9056309406
214,15940741.914854879,250.6737929621391,192483248.2717088,1575759.139627857
215,15940736.318866462,229.8467011167874,192483274.4802338,1575759.3541832617
216,15940731.187819319,210.75001489380247,192483298.51123762,1575759.550912456
217,15940726.483083919,193.2399649104267,192483320.54563922,1575759.7312965153
218,15940722.169240108,177.18472670745868,192483340.7493238,1575759.8966934602
219,15940718.213810705,162.46342832492724,192483359.27439588,1575760.048348489
220,15940714.587016918,148.96524033056824,192483376.26032245,1575760.1874033392
221,15940711.261554131,136.58854145103564,192483391.83498296,1575760.3149048933
222,15940708.212386288,125.24015352465378,192483406.11563012,1575760.4318130508
223,15940705.416557495,114.83464001644947,192483419.20977762,1575760.539007945
224,15940702.853019116,105.2936628146206,192483431.21600536,1575760.637296612
225,15940700.502471365,96.54539246632048,192483442.22470027,1575760.7274190176
226,15940698.347217951,88.5239674129659,192483452.31874454,1575760.8100536498
227,15940696.371033002,81.16899815403418,192483461.57412964,1575760.885822616
228,15940694.559038546,74.42511260663392,192483470.06053573,1575760.9552963641
229,15940692.897592915,68.24153923820509,192483477.84185398,1575761.018997913
230,15940691.374187855,62.57172483403229,192483484.97666433,1575761.077406865
231,15940689.977354247,57.37298402204139,192483491.51868293,1575761.1309629183
232,15940688.696576044,52.60617791638926,192483497.51716086,1575761.1800693027
233,15940687.522210728,48.23541946055824,192483503.01725885,1575761.2250957098
234,15940686.445417056,44.227803251691256,192483508.06038243,1575761.2663811264
235,15940685.458088316,40.55315781217731,192483512.68450204,1575761.3042363548
236,15940684.552791322,37.18381844349385,192483516.92442754,1575761.3389463895
237,15940683.722710608,34.094418952268406,192483520.81208235,1575761.3707725923
238,15940682.96159669,31.261700680579718,192483524.37673134,1575761.3999544869
239,15940682.263719635,28.664337402806762,192483527.6452146,1575761.4267118329
240,15940681.62382539,26.282774770770846,192483530.64213938,1575761.451246073
241,15940681.0370965,24.099083098442584,192483533.39006397,1575761.4737418755
242,15940680.499115707,22.0968223779151,192483535.90967807,1575761.4943686335
243,15940680.005832803,20.260918510414964,192483538.21994972,1575761.513281658
244,15940679.553533966,18.577549820573566,192483540.33827955,1575761.5306232462
245,15940679.138814306,17.034042999574574,192483542.2806013,1575761.5465240579
246,15940678.758551443,15.618777693789484,192483544.06154925,1575761.5611037738
247,15940678.409882557,14.321099020602588,192483545.69453597,1575761.574472108
248,15940678.090182634,13.131237352799504,192483547.1918322,1575761.586729712
249,15940677.797044655,12.04023476761778,192483548.56473294,1575761.5979689313
250,15940677.52826216,11.039877606730863,192483549.8235719,1575761.6082743704
251,15940677.281811181,10.122634639443717,192483550.9778143,1575761.6177236165
252,15940677.055836573,9.281600363560841,192483552.03615594,1575761.6263876604
253,15940676.848637003,8.510443017068457,192483553.0065732,1575761.6343319577
254,15940676.658652319,7.803356909235614,192483553.8963566,1575761.6416162131
255,15940676.484452618,7.155018712255759,192483554.71221298,1575761.6482951923
256,15940676.324726207,6.56054738437649,192483555.46029174,1575761.6544192214
257,15940676.178270398,6.015467422789085,192483556.14621374,1575761.6600344724
258,15940676.043983059,5.5156751696343616,192483556.77513623,1575761.6651832482
259,15940675.920852767,5.057407917454053,192483557.35181704,1575761.6699041342
260,15940675.80795272,4.63721558149911,192483557.8805777,1575761.6742328336
261,15940675.704433022,4.251934725629896,192483558.36541408,1575761.6782019162
262,15940675.609514056,3.8986647462595894,192483558.80996004,1575761.6818413015
263,15940675.522481354,3.574746035042993,192483559.2175689,1575761.68517813
264,15940675.442679975,3.277739955906233,192483559.5913155,1575761.6882378086
265,15940675.369508753,3.0054104856750303,192483559.93401024,1575761.6910433592
266,15940675.302416787,2.755707380081827,192483560.2482317,1575761.693615662
