,S,I,R,M
93,19150914.44996178,10599359.732224425,177897466.89592186,2352258.9219226013
94,18868116.08033224,9762387.844905255,179002624.1510219,2366871.9237757614
95,18611394.932121024,8987964.373728255,180020312.33312115,2380328.3610588023
96,18378169.776472524,8272013.010427224,180957102.0984973,2392715.1146311616
97,18166140.455384314,7610616.38560276,181819129.8358162,2404113.3232252956
98,17973253.858679425,7000031.68174468,182612115.83590385,2414598.6236976343
99,17797674.420036193,6436700.345943096,183341383.8247357,2424241.4093041383
100,17637758.49516276,5917253.119414963,184011881.2870147,2433107.09842991
101,17492032.075966302,5438511.388310451,184628200.1279573,2441256.4077913784
102,17359171.373208784,4997485.681211718,185194597.32016888,2448745.6254400546
103,17237985.86792047,4591371.988638399,185715015.2635027,2455626.8799721673
104,17127403.489961036,4217546.454534364,186193101.65231323,2461948.4032246433
105,17026457.631856356,3873558.885384918,186632228.69833943,2467754.7844502907
106,16934275.748427883,3557125.4360680217,187035511.60099158,2473087.214542543
107,16850069.32889616,3266120.7599524297,187405826.1918418,2477983.719340758
108,16773125.058879947,2998569.8517141296,187745825.70801902,2482479.3814169597
109,16702797.015873091,2752639.7627946055,188057956.67132187,2486606.5500385384
110,16638499.764054213,2526631.3296349393,188344473.86710712,2490395.0392275318
111,16579702.233188992,2318971.0223160344,188607454.43050048,2493872.314015894
112,16525922.282519808,2128202.994783331,188848811.05758858,2497063.6651315046
113,16476721.864253335,1952981.3963980298,189070304.3669218,2499992.372448842
114,16431702.712950988,1792062.9872698889,189273554.4421874,2502679.857612515
115,16390502.497120805,1644300.0859628224,189460051.59065124,2505145.8262910675
116,16352791.377828173,1508633.8671182948,189631166.3545241,2507408.400553731
117,16318268.926447097,1384088.017815876,189788158.81388462,2509484.2418776313
118,16286661.359922905,1269762.754658144,189932187.22013804,2511388.665304942
119,16257719.057277229,1164829.1982893278,190064315.99919432,2513135.7452650615
120,16231214.325699346,1068524.0980410834,190185523.16271552,2514738.4135703635
121,16206939.38853599,980144.8964076103,190296707.16500613,2516208.5500816233
122,16184704.57090883,899045.1208903884,190398693.24171272,2517557.0665221275
123,16164336.661653696,824630.0892554246,190492239.2652228,2518793.9839007915
