,S,I,R,M
255,15940799.751112541,8.81798703658828,188856453.82558426,5202737.605385565
256,15940799.554260908,8.08535023305824,188856454.74294254,5202737.617515809
257,15940799.37376454,7.413584086928534,188856455.5840777,5202737.628637821
258,15940799.208264552,6.797631199122416,188856456.35533524,5202737.63883544
259,15940799.056515357,6.232854361231953,188856457.0625068,5202737.648185969
260,15940798.917373925,5.715001644262094,188856457.7109312,5202737.656759727
261,15940798.789792813,5.240174387950767,188856458.30547124,5202737.664621271
262,15940798.672811955,4.804797849673013,188856458.85062078,5202737.671829287
263,15940798.565550229,4.405594291961911,188856459.35049605,5202737.678438581
264,15940798.46720002,4.039558306032089,188856459.80880514,5202737.684499445
265,15940798.377021402,3.703934185532721,188856460.22904488,5202737.690055505
266,15940798.29433573,3.3961951801856975,188856460.61438143,5202737.695151756
267,15940798.218519174,3.1140244731216895,188856460.96772385,5202737.699822017
268,15940798.149002267,2.8552977387009153,188856461.29164776,5202737.704105521
269,15940798.085260628,2.6180671495058236,188856461.58872062,5202737.708034924
270,15940798.026815357,2.400546712101598,188856461.8610993,5202737.71163436
271,15940797.973225713,2.2010988211657243,188856462.11079693,5202737.714936443
272,15940797.9240884,2.018221930758508,188856462.33981872,5202737.717964294
273,15940797.879033903,1.8505392499174569,188856462.54978004,5202737.720744204
274,15940797.837723214,1.6967883774714638,188856462.74225286,5202737.723286101
275,15940797.799844243,1.555811798038918,188856462.91879225,5202737.725619467
276,15940797.76511168,1.426548167659962,188856463.08061773,5202737.727759435
277,15940797.73326638,1.3080243234562492,188856463.2290624,5202737.7297223285
278,15940797.704066975,1.1993479571624384,188856463.3651309,5202737.731527746
279,15940797.677291712,1.099700897373292,188856463.48986816,5202737.733170307
280,15940797.652743217,1.0083329499301115,188856463.60429737,5202737.7346897805
