,S,I,R,M
168,15944356.117921608,13630.42084800961,189765012.6826385,4277000.778592042
169,15944051.768525092,12498.008699395337,189766437.6196361,4277012.603139559
170,15943772.709569672,11459.672200664458,189767744.17292562,4277023.445304146
171,15943516.83921788,10507.596752739659,189768942.1773314,4277033.386698077
172,15943282.230356997,9634.616769344157,189770040.65071955,4277042.502154267
173,15943067.116067065,8834.161795370146,189771047.8618484,4277050.86028931
174,15942869.87629867,8100.207095403734,189771971.39258626,4277058.524019784
175,15942689.025659623,7427.22834205222,189772818.19496274,4277065.551035685
176,15942523.202218072,6810.160064323645,189773594.6434832,4277071.994234536
177,15942371.157237327,6244.357544396306,189774306.58309895,4277077.902119468
178,15942231.745764764,5725.5618768924405,189774959.3731942,4277083.3191642305
179,15942103.918003663,5249.867928423926,189775557.92792007,4277088.286147901
180,15941986.711402735,4813.694956881954,189776106.7531787,4277092.840461781
181,15941879.243403628,4413.759669856795,189776609.98053575,4277097.016390827
182,15941780.704791596,4047.051519844511,189777071.39831692,4277100.8453716785
183,15941690.353599112,3710.8100506595283,189777494.48012093,4277104.356229284
184,15941607.509516448,3402.504124849343,189777882.41096488,4277107.575393853
185,15941531.54876696,3119.812876013889,189778238.11125723,4277110.527099799
186,15941461.899408508,2860.6082428720097,189778564.25878048,4277113.23356815
187,15941398.037025483,2622.938953786891,189778863.30884695,4277115.715173811
188,15941339.480778964,2405.0158413495737,189779137.51278076,4277117.990598936
189,15941285.78978524,2205.1983766055887,189779388.93486458,4277120.076973549
190,15941236.559795355,2021.9823216688762,189779619.46787843,4277121.990004498
191,15941191.420150675,1853.988407867564,189779830.8473477,4277123.744093684
192,15941150.03099148,1699.9519542706466,189780024.6646077,4277125.352446477
193,15941112.080697598,1558.7133485105987,189780202.37878272,4277126.82717112
194,15941077.28354174,1429.20931829727,189780365.32777005,4277128.179369882
195,15941045.377537865,1310.4649279614614,189780514.7383115,4277129.419222626
196,15941016.122468371,1201.5862398168686,189780651.7352284,4277130.55606345
197,15940989.29807525,1101.7535851273303,189780777.3498887,4277131.598450954
198,15940964.702401554,1010.2153940500068,189780892.52797177,4277132.554232663
